X,Y,countyname,depth_to_water,town,date,ID,countycode,township,year,year2,depth
-101.600938,37.025356,Morton,-267.62,ROLLA SE,2020/02/13,370136101360401,129,35,"2020","2020",287-216
-100.917644,37.005856,Seward,-176.86,Liberal,2020/01/04,370023100550801,175,35,"2020","2020",215-144
-101.994048,37.035692,Morton,-120.45,ELKHART NORTH,2020/01/04,370217101593801,129,35,"2020","2020",143-72
-94.674931,37.117084,Cherokee,-94.71,BAXTER SPRINGS,2020/01/30,370659094403601,21,34,"2020","2020",143-72
-98.793447,37.48398,Pratt,-36.32,Sun City NE,2020/01/09,372902098473802,151,29,"2020","2020",71-0
-98.793447,37.48398,Pratt,-36.59,Sun City NE,2020/04/07,372902098473802,151,29,"2020","2020",71-0
-98.793447,37.48398,Pratt,-36.78,Sun City NE,2020/07/13,372902098473802,151,29,"2020","2020",71-0
-98.793447,37.48398,Pratt,-36.95,Sun City NE,2020/10/16,372902098473802,151,29,"2020","2020",71-0
-98.793427,37.483942,Pratt,-36.31,Sun City NE,2020/01/09,372902098473803,151,29,"2020","2020",71-0
-98.793427,37.483942,Pratt,-36.44,Sun City NE,2020/04/07,372902098473803,151,29,"2020","2020",71-0
-98.793427,37.483942,Pratt,-36.66,Sun City NE,2020/07/13,372902098473803,151,29,"2020","2020",71-0
-98.793427,37.483942,Pratt,-36.85,Sun City NE,2020/10/16,372902098473803,151,29,"2020","2020",71-0
-100.996843,37.278474,Seward,-288.3,Sublette SW,2020/01/04,371641100594601,175,32,"2020","2020",359-288
-101.851594,37.226627,Morton,-154.75,ELKHART NE,2020/01/04,371331101510002,129,32,"2020","2020",215-144
-101.103341,37.162395,Stevens,-273.3,WOODS,2020/01/04,370958101055501,189,33,"2020","2020",287-216
-101.563638,37.184785,Morton,-100.8,Rolla NE,2020/01/04,371103101334301,129,33,"2020","2020",143-72
-100.597732,37.514304,Gray,-293.17,Copeland SE,2020/01/02,373054100354402,69,29,"2020","2020",359-288
-101.610442,37.344952,Morton,-237.63,Shore Airport SE,2020/01/04,372043101363101,129,31,"2020","2020",287-216
-101.610442,37.344952,Morton,-237.93,Shore Airport SE,2020/02/13,372043101363101,129,31,"2020","2020",287-216
-100.123595,37.487889,Ford,-53.64,Minneola,2020/01/05,372906100072002,57,29,"2020","2020",71-0
-100.270521,37.416323,Meade,-108.3,MEADE NE,2020/01/05,372446100160201,119,30,"2020","2020",143-72
-102.028654,37.478867,Stanton,-200.21,Saunders,2020/01/04,372840102014101,187,29,"2020","2020",215-144
-102.028654,37.478867,Stanton,-159.43,Saunders,2020/02/13,372840102014101,187,29,"2020","2020",215-144
-97.769317,37.421033,Sumner,-17.52,NORWICH,2020/12/15,372528097455901,191,30,"2020","2020",71-0
-101.761947,37.43234,Stanton,-205.63,RICHFIELD NE,2020/01/04,372556101454002,187,30,"2020","2020",215-144
-98.582033,37.470795,Pratt,-54.1,Isabel,2020/01/09,372818098345503,151,29,"2020","2020",71-0
-98.582033,37.470795,Pratt,-53.91,Isabel,2020/04/07,372818098345503,151,29,"2020","2020",71-0
-98.582033,37.470795,Pratt,-54.15,Isabel,2020/07/10,372818098345503,151,29,"2020","2020",71-0
-98.582033,37.470795,Pratt,-53.95,Isabel,2020/10/16,372818098345503,151,29,"2020","2020",71-0
-101.216446,37.474564,Grant,-261.94,Moscow NW,2020/01/06,372826101125501,67,30,"2020","2020",287-216
-101.216446,37.474564,Grant,-260.71,Moscow NW,2020/11/17,372826101125501,67,30,"2020","2020",287-216
-98.784215,37.477647,Pratt,-32.34,Sun City NE,2020/01/09,372838098470601,151,29,"2020","2020",71-0
-99.163669,37.602918,Kiowa,-107.88,BRENGAM,2020/01/08,373612099093801,97,28,"2020","2020",143-72
-99.163669,37.602918,Kiowa,-105.48,BRENGAM,2020/10/13,373612099093801,97,28,"2020","2020",143-72
-98.261955,37.640191,Kingman,-7.34,PENALOSA,2020/01/15,373819098154001,95,28,"2020","2020",71-0
-99.079053,37.659267,Kiowa,-76.55,HAVILAND NE,2020/10/15,373938099043601,97,27,"2020","2020",143-72
-99.969991,37.619051,Ford,-165.18,FORT DODGE SW,2020/01/05,373652099575901,57,28,"2020","2020",215-144
-99.59493,37.61657,Ford,-56.74,BUCKLIN SE,2020/01/05,373644099354101,57,28,"2020","2020",71-0
-98.803,37.5428,Pratt,-104.21,Coats,2020/01/09,373231098480401,151,29,"2020","2020",143-72
-98.803,37.5428,Pratt,-104.25,Coats,2020/01/09,373231098480401,151,29,"2020","2020",143-72
-98.803,37.5428,Pratt,-103.91,Coats,2020/04/07,373231098480401,151,29,"2020","2020",143-72
-98.803,37.5428,Pratt,-104.84,Coats,2020/07/13,373231098480401,151,29,"2020","2020",143-72
-98.803,37.5428,Pratt,-104.07,Coats,2020/10/16,373231098480401,151,29,"2020","2020",143-72
-101.394705,37.503805,Grant,-309.85,Ulysses SW,2020/01/06,373009101234301,67,29,"2020","2020",359-288
-101.394705,37.503805,Grant,-323.89,Ulysses SW,2020/11/17,373009101234301,67,29,"2020","2020",359-288
-99.384835,37.512637,Kiowa,-159.94,Mullinville,2020/01/07,373038099230801,97,29,"2020","2020",215-144
-99.384835,37.512637,Kiowa,-163.15,Mullinville,2020/10/13,373038099230801,97,29,"2020","2020",215-144
-101.585947,37.50809,Stanton,-304.7,Big Bow,2020/01/04,373031101350901,187,29,"2020","2020",359-288
-99.893479,37.558551,Ford,-164.68,FORT DODGE SW,2020/01/05,373318099532701,57,29,"2020","2020",215-144
-99.645121,37.556441,Ford,-110.61,BUCKLIN,2020/01/05,373309099384901,57,29,"2020","2020",143-72
-99.645121,37.556441,Ford,-110.47,BUCKLIN,2020/10/13,373309099384901,57,29,"2020","2020",143-72
-100.522752,37.564683,Gray,-175.19,Copeland SE,2020/01/03,373358100311001,69,28,"2020","2020",215-144
-101.432496,37.624098,Grant,-268.23,Ulysses SW,2020/01/03,373731101255901,67,28,"2020","2020",287-216
-101.432496,37.624098,Grant,-261,Ulysses SW,2020/11/17,373731101255901,67,28,"2020","2020",287-216
-101.8256,37.60738,Stanton,-276.05,Johnson West,2020/01/04,373627101492301,187,28,"2020","2020",287-216
-98.592093,37.660004,Pratt,-1.63,Cairo,2020/01/09,373933098353403,151,27,"2020","2020",71-0
-98.592093,37.660004,Pratt,-1.52,Cairo,2020/04/07,373933098353403,151,27,"2020","2020",71-0
-98.592093,37.660004,Pratt,-2.15,Cairo,2020/07/13,373933098353403,151,27,"2020","2020",71-0
-98.592093,37.660004,Pratt,-2.62,Cairo,2020/10/19,373933098353403,151,27,"2020","2020",71-0
-97.391528,37.794409,Sedgwick,-10.88,MAIZE,2020/01/15,374740097232803,173,26,"2020","2020",71-0
-97.391528,37.794409,Sedgwick,-10.63,MAIZE,2020/04/16,374740097232803,173,26,"2020","2020",71-0
-97.391528,37.794409,Sedgwick,-11.28,MAIZE,2020/07/17,374740097232803,173,26,"2020","2020",71-0
-97.391528,37.794409,Sedgwick,-12.02,MAIZE,2020/10/14,374740097232803,173,26,"2020","2020",71-0
-98.771543,37.726301,Pratt,-62.05,Coats NE,2020/01/10,374332098461103,151,27,"2020","2020",71-0
-98.771543,37.726301,Pratt,-61.2,Coats NE,2020/04/08,374332098461103,151,27,"2020","2020",71-0
-98.771543,37.726301,Pratt,-62.64,Coats NE,2020/07/13,374332098461103,151,27,"2020","2020",71-0
-98.771543,37.726301,Pratt,-63.78,Coats NE,2020/10/19,374332098461103,151,27,"2020","2020",71-0
-97.554982,37.793876,Sedgwick,-21.96,COLWICH,2020/01/13,374738097332202,173,26,"2020","2020",71-0
-97.554982,37.793876,Sedgwick,-21.35,COLWICH,2020/04/16,374738097332202,173,26,"2020","2020",71-0
-97.554982,37.793876,Sedgwick,-23.32,COLWICH,2020/07/17,374738097332202,173,26,"2020","2020",71-0
-97.554982,37.793876,Sedgwick,-24.75,COLWICH,2020/10/14,374738097332202,173,26,"2020","2020",71-0
-99.390994,37.744917,Edwards,-56.51,GREENSBURG NW,2020/01/09,374427099232901,47,26,"2020","2020",71-0
-98.158527,37.690176,Kingman,-1.67,KINGMAN NW,2020/01/15,374123098092701,95,27,"2020","2020",71-0
-97.519017,37.808708,Sedgwick,-13.7,COLWICH,2020/01/13,374829097310802,173,26,"2020","2020",71-0
-97.519017,37.808708,Sedgwick,-13.31,COLWICH,2020/04/16,374829097310802,173,26,"2020","2020",71-0
-97.519017,37.808708,Sedgwick,-14,COLWICH,2020/07/17,374829097310802,173,26,"2020","2020",71-0
-97.519017,37.808708,Sedgwick,-15,COLWICH,2020/10/14,374829097310802,173,26,"2020","2020",71-0
-97.551392,37.808529,Sedgwick,-24.23,COLWICH,2020/01/13,374832097330402,173,26,"2020","2020",71-0
-97.551392,37.808529,Sedgwick,-23.76,COLWICH,2020/04/16,374832097330402,173,26,"2020","2020",71-0
-97.551392,37.808529,Sedgwick,-25.82,COLWICH,2020/07/17,374832097330402,173,26,"2020","2020",71-0
-97.551392,37.808529,Sedgwick,-26.88,COLWICH,2020/10/14,374832097330402,173,26,"2020","2020",71-0
-98.789552,37.773477,Pratt,-31.07,Byers,2020/01/08,374631098472501,151,26,"2020","2020",71-0
-99.327225,37.689574,Kiowa,-35.8,Greensburg NE,2020/10/15,374117099193001,97,27,"2020","2020",71-0
-97.683752,37.903555,Sedgwick,-7.9,PATTERSON,2020/01/16,375407097405901,173,25,"2020","2020",71-0
-97.683752,37.903555,Sedgwick,-7.36,PATTERSON,2020/04/16,375407097405901,173,25,"2020","2020",71-0
-97.683752,37.903555,Sedgwick,-8.34,PATTERSON,2020/07/16,375407097405901,173,25,"2020","2020",71-0
-97.683752,37.903555,Sedgwick,-9.4,PATTERSON,2020/10/14,375407097405901,173,25,"2020","2020",71-0
-98.087303,37.941163,Reno,-12.91,Partridge,2020/01/16,375625098051701,155,24,"2020","2020",71-0
-101.659449,37.909244,Hamilton,-49.28,Syracuse East,2020/01/04,375416101394401,75,25,"2020","2020",71-0
-97.775485,37.934119,Reno,-4.12,HAVEN,2020/01/14,375603097463103,155,24,"2020","2020",71-0
-97.775485,37.934119,Reno,-3.51,HAVEN,2020/04/15,375603097463103,155,24,"2020","2020",71-0
-97.775485,37.934119,Reno,-3.58,HAVEN,2020/07/15,375603097463103,155,24,"2020","2020",71-0
-97.775485,37.934119,Reno,-4.51,HAVEN,2020/10/13,375603097463103,155,24,"2020","2020",71-0
