X,Y,countyname,depth_to_water,town,date,ID,countycode,township,year,year2,depth
-99.179418,38.473093,Rush,-36.96,Timken,1984/12/10,382822099104601,165,18,"1984","1984",71-0
-101.442198,38.478442,Wichita,-144.8,LEOTI NW,1984/01/09,382845101262301,203,18,"1984","1984",215-144
-97.776638,38.46415,McPherson,-11.16,WINDOM NE,1984/01/31,382755097463301,113,18,"1984","1984",71-0
-100.594321,38.481067,Lane,-65.93,Amy,1984/01/09,382853100354201,101,18,"1984","1984",71-0
-101.673748,38.506816,Greeley,-116.23,W of Sainte Theresa,1984/01/09,383028101402701,71,18,"1984","1984",143-72
-101.570444,38.478183,Greeley,-140.67,Selkirk,1984/01/04,382843101341301,71,18,"1984","1984",143-72
-101.872652,38.717229,Wallace,-191.84,M Ladder Creek West,1984/01/10,384310101521901,199,15,"1984","1984",215-144
-101.556581,38.73332,Wallace,-142.21,SHARON SPRINGS 4 NE,1984/01/10,384400101332601,199,15,"1984","1984",143-72
-101.575528,38.775329,Wallace,-104.76,Harrison Flats,1984/01/10,384630101343101,199,15,"1984","1984",143-72
-101.964657,38.784941,Wallace,-205.71,Weskan,1984/01/09,384711101574701,199,15,"1984","1984",215-144
-101.517227,38.743646,Wallace,-104.53,West Bethany Church,1984/01/10,384441101310301,199,15,"1984","1984",143-72
-101.146133,38.657036,Wichita,-157.66,Pence NW,1984/01/09,383929101084101,203,16,"1984","1984",215-144
-100.59442,38.576206,Lane,-90.31,Healy,1984/01/09,383433100353601,101,17,"1984","1984",143-72
-100.59442,38.576206,Lane,-90.89,Healy,1984/04/06,383433100353601,101,17,"1984","1984",143-72
-100.59442,38.576206,Lane,-90.76,Healy,1984/07/12,383433100353601,101,17,"1984","1984",143-72
-100.59442,38.576206,Lane,-90,Healy,1984/10/09,383433100353601,101,17,"1984","1984",143-72
-97.592172,38.666219,Saline,-22.7,ASSARIA,1984/03/08,383959097353101,169,16,"1984","1984",71-0
-97.592172,38.666219,Saline,-20.14,ASSARIA,1984/06/06,383959097353101,169,16,"1984","1984",71-0
-101.366711,38.667679,Wichita,-129.18,RUSSELL SPRINGS 3 NE,1984/01/09,384008101215301,203,16,"1984","1984",143-72
-101.366711,38.667679,Wichita,-129.28,RUSSELL SPRINGS 3 NE,1984/04/19,384008101215301,203,16,"1984","1984",143-72
-101.366711,38.667679,Wichita,-129.81,RUSSELL SPRINGS 3 NE,1984/07/26,384008101215301,203,16,"1984","1984",143-72
-101.366711,38.667679,Wichita,-129.53,RUSSELL SPRINGS 3 NE,1984/10/29,384008101215301,203,16,"1984","1984",143-72
-100.316112,39.019718,Gove,-88,HOXIE 3 SE,1984/07/09,390113100184501,63,12,"1984","1984",143-72
-100.165308,39.024188,Gove,-38.84,Quinter,1984/07/10,390131100095701,63,12,"1984","1984",71-0
-100.921526,39.046489,Logan,-70.28,OAKLEY SW,1984/07/02,390252100551301,109,11,"1984","1984",71-0
-101.964256,39.176582,Sherman,-100.2,Horsethief Draw NW,1984/01/24,391032101574801,181,10,"1984","1984",143-72
-102.034158,39.176632,Sherman,-117,MT SUNFLOWER NE,1984/08/08,391032102015501,181,10,"1984","1984",143-72
-101.418241,39.178425,Sherman,-191.7,McAllaster NW,1984/01/09,391037101250601,181,10,"1984","1984",215-144
-101.762352,39.408018,Sherman,-125.59,Ruleton NE,1984/01/10,392429101454201,181,7,"1984","1984",143-72
-101.947558,39.461596,Sherman,-195.43,Ruleton NW,1984/01/11,392744101564801,181,7,"1984","1984",215-144
-101.947558,39.461596,Sherman,-194.9,Ruleton NW,1984/06/04,392744101564801,181,7,"1984","1984",215-144
-101.947558,39.461596,Sherman,-204.97,Ruleton NW,1984/09/13,392744101564801,181,7,"1984","1984",215-144
-100.836128,39.369275,Thomas,-116.62,Halford,1984/01/10,392210100502301,193,8,"1984","1984",143-72
-100.274715,39.432854,Sheridan,-124.78,Hoxie NE,1984/01/04,392604100162101,179,7,"1984","1984",143-72
-100.274715,39.432854,Sheridan,-123.72,Hoxie NE,1984/04/11,392604100162101,179,7,"1984","1984",143-72
-100.274715,39.432854,Sheridan,-122.65,Hoxie NE,1984/06/04,392604100162101,179,7,"1984","1984",143-72
-100.274715,39.432854,Sheridan,-126.76,Hoxie NE,1984/09/11,392604100162101,179,7,"1984","1984",143-72
-100.274715,39.432854,Sheridan,-124.7,Hoxie NE,1984/12/11,392604100162101,179,7,"1984","1984",143-72
