X,Y,countyname,depth_to_water,town,date,ID,countycode,township,year,year2,depth
-101.600938,37.025356,Morton,-271.8,ROLLA SE,2021/01/06,370136101360401,129,35,"2021","2021",287-216
-100.917644,37.005856,Seward,-177.34,Liberal,2021/01/06,370023100550801,175,35,"2021","2021",215-144
-101.994048,37.035692,Morton,-121.04,ELKHART NORTH,2021/02/02,370217101593801,129,35,"2021","2021",143-72
-94.674931,37.117084,Cherokee,-108.17,BAXTER SPRINGS,2021/01/22,370659094403601,21,34,"2021","2021",143-72
-94.674931,37.117084,Cherokee,-104.6,BAXTER SPRINGS,2021/12/13,370659094403601,21,34,"2021","2021",143-72
-98.793447,37.48398,Pratt,-36.96,Sun City NE,2021/01/14,372902098473802,151,29,"2021","2021",71-0
-98.793447,37.48398,Pratt,-36.98,Sun City NE,2021/04/13,372902098473802,151,29,"2021","2021",71-0
-98.793447,37.48398,Pratt,-37.21,Sun City NE,2021/08/06,372902098473802,151,29,"2021","2021",71-0
-98.793447,37.48398,Pratt,-37.26,Sun City NE,2021/10/11,372902098473802,151,29,"2021","2021",71-0
-98.793427,37.483942,Pratt,-36.89,Sun City NE,2021/01/14,372902098473803,151,29,"2021","2021",71-0
-98.793427,37.483942,Pratt,-36.87,Sun City NE,2021/04/13,372902098473803,151,29,"2021","2021",71-0
-98.793427,37.483942,Pratt,-37.16,Sun City NE,2021/08/06,372902098473803,151,29,"2021","2021",71-0
-98.793427,37.483942,Pratt,-37.19,Sun City NE,2021/10/11,372902098473803,151,29,"2021","2021",71-0
-101.851594,37.226627,Morton,-158.57,ELKHART NE,2021/01/06,371331101510002,129,32,"2021","2021",215-144
-101.103341,37.162395,Stevens,-279.19,WOODS,2021/01/06,370958101055501,189,33,"2021","2021",287-216
-101.563638,37.184785,Morton,-101.73,Rolla NE,2021/01/06,371103101334301,129,33,"2021","2021",143-72
-100.597732,37.514304,Gray,-295.54,Copeland SE,2021/01/04,373054100354402,69,29,"2021","2021",359-288
-101.610442,37.344952,Morton,-237.81,Shore Airport SE,2021/01/06,372043101363101,129,31,"2021","2021",287-216
-100.123595,37.487889,Ford,-55.19,Minneola,2021/01/07,372906100072002,57,29,"2021","2021",71-0
-100.270521,37.416323,Meade,-109.3,MEADE NE,2021/01/07,372446100160201,119,30,"2021","2021",143-72
-102.028654,37.478867,Stanton,-161.75,Saunders,2021/01/06,372840102014101,187,29,"2021","2021",215-144
-97.769317,37.421033,Sumner,-18.64,NORWICH,2021/12/16,372528097455901,191,30,"2021","2021",71-0
-101.761947,37.43234,Stanton,-206.05,RICHFIELD NE,2021/01/06,372556101454002,187,30,"2021","2021",215-144
-98.582033,37.470795,Pratt,-53.77,Isabel,2021/01/12,372818098345503,151,29,"2021","2021",71-0
-98.582033,37.470795,Pratt,-53.91,Isabel,2021/04/13,372818098345503,151,29,"2021","2021",71-0
-98.582033,37.470795,Pratt,-54.62,Isabel,2021/08/04,372818098345503,151,29,"2021","2021",71-0
-98.582033,37.470795,Pratt,-54.76,Isabel,2021/10/11,372818098345503,151,29,"2021","2021",71-0
-101.216446,37.474564,Grant,-262.37,Moscow NW,2021/01/05,372826101125501,67,30,"2021","2021",287-216
-98.784215,37.477647,Pratt,-33.01,Sun City NE,2021/01/05,372838098470601,151,29,"2021","2021",71-0
-99.163669,37.602918,Kiowa,-105.11,BRENGAM,2021/01/06,373612099093801,97,28,"2021","2021",143-72
-99.163669,37.602918,Kiowa,-104.58,BRENGAM,2021/04/22,373612099093801,97,28,"2021","2021",143-72
-99.163669,37.602918,Kiowa,-105.89,BRENGAM,2021/10/12,373612099093801,97,28,"2021","2021",143-72
-98.261955,37.640191,Kingman,-7.52,PENALOSA,2021/01/07,373819098154001,95,28,"2021","2021",71-0
-99.079053,37.659267,Kiowa,-72.79,HAVILAND NE,2021/01/20,373938099043601,97,27,"2021","2021",143-72
-99.079053,37.659267,Kiowa,-72.38,HAVILAND NE,2021/04/29,373938099043601,97,27,"2021","2021",143-72
-99.079053,37.659267,Kiowa,-74.1,HAVILAND NE,2021/10/12,373938099043601,97,27,"2021","2021",143-72
-99.969991,37.619051,Ford,-164.15,FORT DODGE SW,2021/01/07,373652099575901,57,28,"2021","2021",215-144
-99.59493,37.61657,Ford,-57.2,BUCKLIN SE,2021/01/07,373644099354101,57,28,"2021","2021",71-0
-98.803,37.5428,Pratt,-103.89,Coats,2021/01/05,373231098480401,151,29,"2021","2021",143-72
-98.803,37.5428,Pratt,-103.79,Coats,2021/01/14,373231098480401,151,29,"2021","2021",143-72
-98.803,37.5428,Pratt,-103.6,Coats,2021/04/14,373231098480401,151,29,"2021","2021",143-72
-98.803,37.5428,Pratt,-103.71,Coats,2021/08/06,373231098480401,151,29,"2021","2021",143-72
-98.803,37.5428,Pratt,-104,Coats,2021/10/11,373231098480401,151,29,"2021","2021",143-72
-101.394705,37.503805,Grant,-317.45,Ulysses SW,2021/01/04,373009101234301,67,29,"2021","2021",359-288
-99.384835,37.512637,Kiowa,-158.78,Mullinville,2021/01/13,373038099230801,97,29,"2021","2021",215-144
-99.384835,37.512637,Kiowa,-162.68,Mullinville,2021/10/12,373038099230801,97,29,"2021","2021",215-144
-99.27149,37.58288,Kiowa,-130.39,Greensburg,2021/04/22,373453099161501,97,28,"2021","2021",143-72
-99.27149,37.58288,Kiowa,-131.12,Greensburg,2021/10/12,373453099161501,97,28,"2021","2021",143-72
-99.893479,37.558551,Ford,-162.99,FORT DODGE SW,2021/01/07,373318099532701,57,29,"2021","2021",215-144
-99.645121,37.556441,Ford,-111.6,BUCKLIN,2021/01/07,373309099384901,57,29,"2021","2021",143-72
-99.645121,37.556441,Ford,-110.18,BUCKLIN,2021/04/22,373309099384901,57,29,"2021","2021",143-72
-99.645121,37.556441,Ford,-110.41,BUCKLIN,2021/10/12,373309099384901,57,29,"2021","2021",143-72
-100.522752,37.564683,Gray,-175.26,Copeland SE,2021/01/13,373358100311001,69,28,"2021","2021",215-144
-101.432496,37.624098,Grant,-272.29,Ulysses SW,2021/02/03,373731101255901,67,28,"2021","2021",287-216
-101.8256,37.60738,Stanton,-276.4,Johnson West,2021/01/06,373627101492301,187,28,"2021","2021",287-216
-98.592093,37.660004,Pratt,-2.06,Cairo,2021/01/14,373933098353403,151,27,"2021","2021",71-0
-98.592093,37.660004,Pratt,-1.68,Cairo,2021/04/14,373933098353403,151,27,"2021","2021",71-0
-98.592093,37.660004,Pratt,-2.76,Cairo,2021/08/06,373933098353403,151,27,"2021","2021",71-0
-98.592093,37.660004,Pratt,-2.61,Cairo,2021/10/12,373933098353403,151,27,"2021","2021",71-0
-97.391528,37.794409,Sedgwick,-12.08,MAIZE,2021/01/13,374740097232803,173,26,"2021","2021",71-0
-97.391528,37.794409,Sedgwick,-11.16,MAIZE,2021/04/21,374740097232803,173,26,"2021","2021",71-0
-97.391528,37.794409,Sedgwick,-10.98,MAIZE,2021/07/23,374740097232803,173,26,"2021","2021",71-0
